Date,Open,High,Low,Close,Volume
1/3/2012 16:00:00,12097.23,12216.76,11955.94,12208.43,162333312
1/4/2012 16:00:00,12189.71,12234.27,12154.04,12226.47,175575328
1/5/2012 16:00:00,12196.24,12253.13,12137.11,12237.4,161562816
1/6/2012 16:00:00,12241.82,12245.99,12148.31,12188.64,144785088
1/9/2012 16:00:00,12194.98,12210.58,12150.68,12196.72,149905296
1/10/2012 16:00:00,12320.66,12346.82,12198.35,12270.66,188406224
1/11/2012 16:00:00,12268.42,12284.74,12228.74,12260.94,178804208
1/12/2012 16:00:00,12279,12307.45,12227.57,12274.32,231832576
1/13/2012 16:00:00,12216.68,12268.12,12116.98,12231.06,179576848
1/16/2012 16:00:00,12232.6,12272.46,12226.6,12258.6,94795472
1/17/2012 16:00:00,12302.52,12316.96,12198.88,12232.83,276862240
1/18/2012 16:00:00,12209.7,12346.74,12209.7,12327.52,255761888
1/19/2012 16:00:00,12378.82,12417.69,12335.39,12380.69,261849120
1/20/2012 16:00:00,12361.51,12397.1,12354.04,12397.1,191752352
1/23/2012 16:00:00,12433.04,12530.28,12408,12521.7,207744016
1/24/2012 16:00:00,12454.49,12509.62,12355.24,12395.24,242250512
1/25/2012 16:00:00,12375,12539.63,12326.8,12539.21,294333824
1/26/2012 16:00:00,12591.12,12615.99,12424.69,12464.32,240864656
1/27/2012 16:00:00,12430.32,12528.99,12430.32,12466.5,187535952
1/30/2012 16:00:00,12371.65,12454.29,12338.25,12436.42,187569712
1/31/2012 16:00:00,12518.53,12532.74,12366.74,12452.15,209443296
2/1/2012 16:00:00,12510.67,12542.34,12463.76,12517.66,213032704
2/2/2012 16:00:00,12515.22,12574.63,12497.94,12553.48,200591216
2/3/2012 16:00:00,12580.68,12623.98,12553.48,12577.28,213276208
2/6/2012 16:00:00,12547.18,12592.12,12521.56,12559.85,147979168
2/7/2012 16:00:00,12568.9,12568.9,12424.75,12512.42,203803024
2/8/2012 16:00:00,12543.8,12575.15,12469.46,12521.02,181283488
2/9/2012 16:00:00,12521.05,12547.44,12461.88,12497.94,200222384
2/10/2012 16:00:00,12403.02,12458.42,12328.92,12389.42,192173632
2/13/2012 16:00:00,12428.36,12458.13,12382.41,12398.69,193319872
2/14/2012 16:00:00,12380.98,12399.62,12291.76,12354.47,182814944
2/15/2012 16:00:00,12390.12,12399.97,12328.45,12362.03,172736624
2/16/2012 16:00:00,12333.06,12486.81,12326.79,12485.59,231209072
2/17/2012 16:00:00,12516.83,12516.83,12428.9,12458.3,187916880
2/21/2012 16:00:00,12538.58,12656.31,12468.97,12623.36,240739744
2/22/2012 16:00:00,12639.2,12719.31,12618.55,12701.26,253713904
2/23/2012 16:00:00,12695.87,12734.27,12657.73,12731.28,218670016
2/24/2012 16:00:00,12741.98,12763.75,12710.64,12725.77,199606144
2/27/2012 16:00:00,12703.3,12723.18,12624.14,12700.38,150056848
2/28/2012 16:00:00,12695.21,12753.01,12678.64,12740.47,209891104
2/29/2012 16:00:00,12757.08,12788.63,12602.47,12644.01,324589056
3/1/2012 16:00:00,12642.98,12731.49,12642.98,12723.46,216689584
